Name,Age,Gender,Country,State,City,Parent Occupation,Earning Class,Level of Student,Level of Course,Course Name,Material Name,Material Level,Time per Day (min),Assessment Score,IQ of Student,Promoted
Peter,5,Female,USA,California,San Diego,Engineer,Low,Intermediate,Beginner,Math,PDF,Medium,65,86.45,98,Yes
John,17,Female,UK,England,London,Doctor,High,Beginner,Beginner,Math,PDF,Basic,114,56.92,129,No
Steven,15,Female,India,Karnataka,Mysore,Farmer,Low,Intermediate,Advanced,Science,Quiz,Hard,40,84.66,84,Yes
Caleb,6,Female,India,Maharashtra,Pune,Engineer,Middle,Beginner,Intermediate,Math,Video,Basic,89,81.87,86,Yes
William,12,Male,UK,England,London,Engineer,High,Beginner,Intermediate,English,Video,Basic,91,51.97,136,No
Sara,7,Female,India,Maharashtra,Pune,Doctor,Middle,Beginner,Beginner,English,Video,Basic,112,67.26,92,Yes
Beth,7,Female,USA,California,San Diego,Farmer,Low,Intermediate,Intermediate,Math,PDF,Hard,117,64.08,102,Yes
Stephen,6,Male,UK,Scotland,Glasgow,Doctor,Middle,Intermediate,Intermediate,English,Quiz,Medium,99,51.59,97,No
Kelsey,16,Male,India,Karnataka,Mysore,Teacher,High,Beginner,Advanced,Math,PDF,Hard,50,80.15,135,Yes
Crystal,13,Female,India,Maharashtra,Mumbai,Engineer,Low,Beginner,Intermediate,Science,Video,Hard,75,92.17,122,Yes
Jack,17,Female,UK,Scotland,Edinburgh,Teacher,High,Beginner,Advanced,Math,Quiz,Basic,20,56.92,83,No
Tabitha,7,Female,UK,England,London,Clerk,High,Advanced,Intermediate,Science,Video,Hard,28,84.5,99,Yes
Wendy,7,Male,USA,California,Los Angeles,Farmer,High,Intermediate,Beginner,English,Quiz,Hard,13,52.8,92,No
Edward,18,Female,India,Maharashtra,Pune,Clerk,Low,Intermediate,Beginner,Math,Video,Hard,105,86.75,112,Yes
Henry,14,Male,India,Karnataka,Bangalore,Engineer,Middle,Intermediate,Intermediate,English,Video,Medium,85,69.67,114,Yes
Laura,7,Female,India,Maharashtra,Pune,Farmer,Middle,Intermediate,Advanced,Math,Quiz,Basic,12,100.0,128,Yes
Amanda,9,Male,USA,California,Los Angeles,Doctor,Low,Intermediate,Intermediate,Science,Quiz,Medium,35,89.93,81,Yes
Marcus,7,Female,India,Maharashtra,Pune,Doctor,Low,Advanced,Beginner,Math,Quiz,Hard,92,64.47,136,Yes
Melinda,15,Male,UK,England,London,Clerk,Low,Advanced,Advanced,Science,Quiz,Hard,89,79.47,107,Yes
Shane,15,Male,UK,Scotland,Glasgow,Clerk,Middle,Beginner,Beginner,Science,Video,Hard,104,63.98,113,Yes
Rebecca,11,Male,UK,England,London,Farmer,Middle,Beginner,Beginner,Math,Quiz,Basic,71,100.0,100,Yes
Linda,5,Male,USA,Texas,Dallas,Clerk,Low,Beginner,Advanced,Science,PDF,Basic,82,67.55,123,Yes
Steven,18,Male,India,Maharashtra,Mumbai,Clerk,Middle,Advanced,Advanced,Math,Video,Basic,56,77.68,112,Yes
Kimberly,12,Male,USA,California,San Diego,Farmer,High,Beginner,Intermediate,Science,Video,Hard,94,54.48,81,No
Dylan,18,Male,India,Maharashtra,Pune,Engineer,Low,Intermediate,Intermediate,English,PDF,Medium,70,78.94,106,Yes
Vanessa,17,Female,India,Maharashtra,Mumbai,Doctor,High,Beginner,Advanced,English,Video,Hard,32,80.47,101,Yes
Courtney,18,Male,UK,England,London,Business,Low,Advanced,Beginner,Science,PDF,Basic,96,58.16,137,No
Steven,9,Female,UK,England,London,Clerk,Low,Intermediate,Intermediate,Science,PDF,Medium,52,69.57,113,Yes
Erin,7,Female,India,Karnataka,Mysore,Engineer,Middle,Beginner,Intermediate,Science,Video,Medium,27,74.17,91,Yes
Adam,16,Female,India,Karnataka,Bangalore,Teacher,Middle,Intermediate,Beginner,Math,PDF,Basic,47,72.14,90,Yes
Katherine,14,Female,India,Karnataka,Bangalore,Engineer,Low,Intermediate,Advanced,English,Video,Hard,70,62.1,115,Yes
David,9,Female,UK,England,Manchester,Doctor,Middle,Advanced,Advanced,Math,PDF,Medium,62,76.43,123,Yes
Adrian,9,Male,USA,Texas,Austin,Business,Low,Intermediate,Beginner,English,PDF,Medium,40,41.15,113,No
Victor,18,Male,India,Maharashtra,Pune,Farmer,Low,Intermediate,Beginner,Math,PDF,Hard,42,68.82,127,Yes
Zachary,9,Male,UK,England,Manchester,Clerk,Middle,Advanced,Beginner,English,Video,Basic,70,44.61,138,No
Keith,14,Female,UK,England,London,Clerk,High,Intermediate,Intermediate,Science,PDF,Basic,17,46.89,87,No
Michael,11,Male,USA,Texas,Dallas,Doctor,High,Beginner,Intermediate,Science,PDF,Basic,78,81.8,134,Yes
Bryan,18,Male,USA,Texas,Dallas,Clerk,High,Beginner,Advanced,Science,PDF,Medium,56,66.33,90,Yes
Kristen,12,Female,India,Maharashtra,Pune,Teacher,Middle,Intermediate,Beginner,English,PDF,Medium,73,55.88,104,No
Rebecca,13,Male,USA,Texas,Austin,Business,Middle,Intermediate,Advanced,Math,Video,Hard,31,68.83,100,Yes
James,12,Male,UK,England,Manchester,Doctor,Middle,Beginner,Intermediate,Science,PDF,Medium,92,87.08,110,Yes
Gina,9,Female,USA,Texas,Austin,Engineer,High,Beginner,Intermediate,English,Quiz,Basic,73,94.08,137,Yes
Leah,5,Female,UK,England,London,Business,High,Advanced,Intermediate,Science,Quiz,Hard,46,68.52,107,Yes
Stephanie,13,Male,USA,Texas,Austin,Teacher,Middle,Beginner,Advanced,English,Quiz,Hard,85,67.73,124,Yes
Kevin,11,Female,USA,Texas,Dallas,Teacher,Middle,Beginner,Advanced,English,Quiz,Hard,67,85.37,82,Yes
Rhonda,16,Female,UK,England,London,Business,Middle,Beginner,Advanced,English,PDF,Hard,31,79.97,136,Yes
Nathaniel,17,Female,USA,California,San Diego,Teacher,High,Advanced,Beginner,English,Video,Medium,28,77.81,140,Yes
Kimberly,9,Female,UK,Scotland,Glasgow,Business,Middle,Beginner,Advanced,Math,PDF,Basic,89,81.43,131,Yes
Dan,6,Female,USA,Texas,Austin,Business,Low,Intermediate,Intermediate,English,PDF,Medium,11,76.48,109,Yes
Seth,12,Female,USA,Texas,Dallas,Clerk,Middle,Intermediate,Intermediate,English,Video,Medium,12,53.69,94,No
Richard,6,Male,UK,England,London,Clerk,High,Beginner,Beginner,English,Video,Medium,22,48.08,95,No
Kristie,14,Female,USA,California,Los Angeles,Farmer,Low,Intermediate,Beginner,Science,Quiz,Basic,81,73.82,121,Yes
Kathleen,9,Male,UK,England,Manchester,Clerk,Low,Beginner,Advanced,Science,Quiz,Basic,98,82.16,94,Yes
Teresa,13,Male,UK,Scotland,Glasgow,Doctor,Low,Beginner,Beginner,Science,Video,Basic,117,66.96,133,Yes
Robert,5,Male,USA,Texas,Austin,Business,Low,Beginner,Beginner,English,Video,Basic,11,89.44,129,Yes
Andrew,9,Female,USA,California,San Diego,Farmer,Low,Intermediate,Beginner,Math,PDF,Medium,62,52.66,108,No
Daniel,8,Female,USA,California,San Diego,Business,High,Advanced,Beginner,Math,Video,Medium,41,65.49,90,Yes
Jennifer,18,Male,UK,England,Manchester,Business,Middle,Beginner,Advanced,English,PDF,Hard,92,69.86,109,Yes
Sarah,16,Female,UK,England,London,Engineer,High,Beginner,Beginner,Math,PDF,Basic,53,62.29,85,Yes
Rebecca,13,Male,USA,Texas,Austin,Farmer,Middle,Advanced,Advanced,Math,PDF,Basic,110,80.32,96,Yes
David,12,Female,UK,Scotland,Edinburgh,Clerk,High,Intermediate,Beginner,Science,Video,Medium,87,47.79,102,No
Rachel,5,Male,India,Karnataka,Bangalore,Clerk,High,Intermediate,Intermediate,Math,PDF,Basic,84,73.05,124,Yes
Donald,9,Male,USA,Texas,Dallas,Farmer,High,Advanced,Intermediate,Science,Quiz,Medium,37,59.81,113,No
Marcia,5,Female,India,Karnataka,Bangalore,Doctor,Middle,Intermediate,Beginner,English,Quiz,Hard,118,54.13,103,No
Meghan,8,Male,India,Karnataka,Bangalore,Business,Low,Intermediate,Advanced,Science,PDF,Medium,33,61.69,96,Yes
Keith,12,Male,India,Maharashtra,Mumbai,Engineer,Low,Beginner,Beginner,English,Quiz,Hard,93,69.77,114,Yes
Michael,15,Female,India,Karnataka,Bangalore,Engineer,High,Intermediate,Intermediate,Math,Quiz,Basic,42,84.72,100,Yes
Raven,15,Female,USA,California,Los Angeles,Engineer,Low,Intermediate,Advanced,Science,Video,Hard,61,76.07,138,Yes
Emily,5,Male,UK,England,Manchester,Clerk,Low,Beginner,Beginner,Science,Quiz,Medium,33,44.12,85,No
Heather,7,Female,India,Karnataka,Bangalore,Farmer,Low,Intermediate,Advanced,English,PDF,Medium,117,86.27,105,Yes
Jeffery,7,Male,UK,Scotland,Edinburgh,Teacher,Middle,Advanced,Advanced,English,PDF,Hard,108,68.94,106,Yes
Melanie,7,Female,India,Maharashtra,Pune,Engineer,Middle,Intermediate,Advanced,English,Video,Hard,89,70.99,103,Yes
Joseph,18,Male,USA,Texas,Dallas,Clerk,High,Advanced,Advanced,Science,Video,Hard,59,71.26,128,Yes
Tracy,7,Male,India,Karnataka,Mysore,Farmer,High,Advanced,Beginner,Math,Video,Hard,16,39.07,118,No
Jennifer,14,Male,UK,Scotland,Edinburgh,Engineer,High,Beginner,Advanced,Math,PDF,Basic,102,99.06,99,Yes
Amber,12,Female,India,Maharashtra,Mumbai,Engineer,Low,Advanced,Intermediate,English,PDF,Basic,59,66.34,100,Yes
John,6,Female,UK,Scotland,Edinburgh,Clerk,Middle,Advanced,Beginner,English,PDF,Medium,96,67.12,83,Yes
Sherry,15,Male,India,Maharashtra,Pune,Engineer,Low,Advanced,Beginner,English,Video,Medium,42,48.57,119,No
Vanessa,17,Male,India,Karnataka,Bangalore,Teacher,Middle,Intermediate,Intermediate,English,Quiz,Hard,98,74.66,115,Yes
Charles,9,Male,India,Maharashtra,Mumbai,Farmer,Middle,Advanced,Beginner,English,Video,Hard,80,53.3,85,No
Joshua,9,Male,UK,England,Manchester,Teacher,Middle,Advanced,Intermediate,Science,PDF,Basic,86,60.46,125,Yes
Christian,8,Female,India,Karnataka,Bangalore,Engineer,High,Advanced,Advanced,English,Video,Basic,38,50.86,136,No
Brett,5,Male,USA,California,Los Angeles,Doctor,High,Beginner,Advanced,English,Quiz,Medium,56,66.11,125,Yes
Megan,11,Female,USA,Texas,Dallas,Farmer,Middle,Advanced,Advanced,Math,Quiz,Basic,83,63.47,123,Yes
Mark,11,Female,India,Maharashtra,Mumbai,Farmer,Low,Intermediate,Advanced,Math,Quiz,Hard,115,72.89,129,Yes
Jenna,16,Female,UK,Scotland,Glasgow,Clerk,High,Beginner,Intermediate,Math,PDF,Basic,95,80.39,123,Yes
Jennifer,16,Male,USA,California,Los Angeles,Engineer,High,Intermediate,Intermediate,Math,Video,Basic,116,86.32,134,Yes
Jason,14,Female,USA,California,San Diego,Engineer,Middle,Intermediate,Beginner,English,Video,Basic,77,51.34,133,No
Jordan,7,Female,UK,England,Manchester,Clerk,High,Advanced,Intermediate,English,PDF,Hard,109,92.42,109,Yes
Tammy,15,Male,India,Karnataka,Mysore,Clerk,High,Advanced,Intermediate,Math,Video,Hard,100,84.41,107,Yes
Jennifer,11,Female,India,Maharashtra,Pune,Business,Middle,Beginner,Beginner,Math,Video,Medium,116,83.89,83,Yes
Mary,5,Male,UK,England,Manchester,Business,High,Advanced,Beginner,Math,Video,Medium,36,98.91,90,Yes
Suzanne,5,Male,UK,England,London,Doctor,High,Intermediate,Intermediate,Science,Quiz,Hard,60,76.14,89,Yes
Ashley,11,Female,UK,Scotland,Edinburgh,Clerk,Low,Intermediate,Advanced,English,PDF,Hard,64,63.07,132,Yes
Andrew,15,Male,India,Maharashtra,Mumbai,Business,Middle,Beginner,Advanced,Science,Video,Medium,35,77.38,139,Yes
Lauren,12,Female,UK,England,London,Clerk,High,Intermediate,Beginner,English,PDF,Hard,75,65.89,136,Yes
Laurie,17,Female,USA,California,San Diego,Engineer,Middle,Intermediate,Advanced,Science,Quiz,Hard,40,72.11,119,Yes
Cynthia,13,Male,UK,Scotland,Glasgow,Doctor,Low,Advanced,Beginner,Math,Video,Hard,18,55.1,123,No
Denise,11,Female,India,Karnataka,Bangalore,Teacher,Low,Intermediate,Advanced,Math,Video,Hard,103,69.46,138,Yes
Eric,7,Male,India,Karnataka,Bangalore,Business,High,Intermediate,Intermediate,Math,Video,Medium,80,78.06,95,Yes
Christopher,18,Female,UK,England,London,Engineer,Middle,Intermediate,Beginner,Science,PDF,Hard,39,59.27,104,No
Lee,7,Male,USA,California,San Diego,Doctor,Low,Beginner,Beginner,English,PDF,Basic,14,73.17,116,Yes
Adrian,7,Female,UK,England,Manchester,Clerk,Middle,Intermediate,Advanced,English,Video,Hard,80,54.38,100,No
Donald,6,Male,UK,England,London,Doctor,Low,Advanced,Advanced,Math,Quiz,Medium,89,52.92,105,No
Luis,11,Female,India,Maharashtra,Pune,Farmer,Low,Beginner,Advanced,Science,Video,Hard,24,80.57,93,Yes
Anthony,8,Female,India,Maharashtra,Pune,Teacher,Low,Advanced,Beginner,Math,Video,Hard,77,89.07,128,Yes
Michael,6,Male,India,Karnataka,Mysore,Doctor,High,Advanced,Beginner,Math,PDF,Hard,45,64.82,87,Yes
Angela,14,Female,USA,Texas,Dallas,Clerk,High,Advanced,Advanced,English,Quiz,Basic,61,51.25,130,No
Ricardo,15,Male,India,Maharashtra,Pune,Business,Middle,Advanced,Advanced,Science,Quiz,Basic,118,88.93,84,Yes
Lisa,11,Male,USA,Texas,Austin,Teacher,High,Beginner,Beginner,English,Video,Medium,97,58.38,115,No
Vickie,16,Male,USA,Texas,Dallas,Engineer,Low,Advanced,Intermediate,Math,PDF,Medium,106,49.6,128,No
Craig,6,Female,UK,Scotland,Edinburgh,Engineer,Middle,Advanced,Intermediate,Math,Video,Basic,82,64.71,81,Yes
Misty,10,Male,India,Maharashtra,Mumbai,Doctor,Middle,Intermediate,Intermediate,Science,Video,Medium,21,90.92,98,Yes
Breanna,5,Female,India,Maharashtra,Mumbai,Business,High,Intermediate,Beginner,English,Video,Hard,72,65.24,138,Yes
Kevin,7,Male,USA,Texas,Dallas,Teacher,High,Advanced,Advanced,English,Video,Medium,88,66.47,123,Yes
Jill,6,Male,USA,California,Los Angeles,Clerk,High,Advanced,Beginner,Science,Video,Hard,30,54.57,128,No
Mathew,7,Female,USA,Texas,Dallas,Clerk,Middle,Intermediate,Intermediate,Science,PDF,Hard,62,65.4,111,Yes
Evelyn,11,Male,India,Maharashtra,Mumbai,Teacher,High,Beginner,Advanced,English,Quiz,Hard,101,100.0,99,Yes
Frank,9,Male,USA,Texas,Dallas,Business,Low,Advanced,Intermediate,Science,PDF,Hard,70,66.67,139,Yes
Kevin,16,Female,UK,Scotland,Edinburgh,Clerk,High,Intermediate,Advanced,English,Quiz,Medium,98,76.25,113,Yes
Jack,5,Female,India,Karnataka,Bangalore,Doctor,High,Advanced,Advanced,Science,PDF,Medium,72,63.2,114,Yes
Richard,14,Male,USA,California,Los Angeles,Clerk,Low,Intermediate,Beginner,Math,Quiz,Hard,104,75.6,106,Yes
Susan,16,Male,India,Maharashtra,Pune,Business,High,Advanced,Beginner,Math,PDF,Hard,40,83.31,126,Yes
Lindsey,7,Male,USA,California,Los Angeles,Teacher,Middle,Advanced,Intermediate,English,PDF,Basic,37,84.53,91,Yes
Erica,11,Male,India,Maharashtra,Pune,Teacher,Middle,Intermediate,Intermediate,English,Video,Basic,74,68.87,126,Yes
Zachary,18,Female,India,Karnataka,Bangalore,Farmer,High,Intermediate,Intermediate,Science,PDF,Medium,43,73.07,140,Yes
Jenna,11,Male,India,Maharashtra,Mumbai,Engineer,Middle,Beginner,Beginner,English,PDF,Hard,78,84.38,91,Yes
Sarah,14,Male,USA,California,Los Angeles,Engineer,High,Advanced,Advanced,Math,Quiz,Medium,29,66.34,126,Yes
Daniel,18,Female,USA,Texas,Austin,Teacher,High,Intermediate,Intermediate,Science,Quiz,Medium,26,85.4,133,Yes
Gregory,6,Female,USA,Texas,Austin,Business,High,Intermediate,Intermediate,Math,Quiz,Medium,13,65.62,95,Yes
Andrew,7,Male,India,Maharashtra,Mumbai,Clerk,Low,Advanced,Beginner,Math,Video,Basic,86,58.92,83,No
Regina,6,Female,UK,England,London,Farmer,Middle,Intermediate,Advanced,Math,PDF,Basic,43,61.42,95,Yes
Justin,15,Male,India,Maharashtra,Pune,Clerk,High,Beginner,Beginner,Math,Quiz,Hard,21,49.03,118,No
Daniel,6,Female,UK,Scotland,Glasgow,Clerk,High,Beginner,Intermediate,English,Video,Medium,60,67.04,140,Yes
Curtis,12,Male,USA,Texas,Austin,Doctor,Low,Advanced,Advanced,Science,Quiz,Hard,70,96.7,86,Yes
Joseph,16,Male,USA,California,San Diego,Business,High,Beginner,Beginner,Math,Video,Basic,67,76.69,80,Yes
Amanda,10,Male,USA,Texas,Dallas,Engineer,High,Intermediate,Intermediate,Science,Video,Basic,110,73.77,132,Yes
Dustin,5,Female,India,Karnataka,Bangalore,Doctor,Middle,Beginner,Beginner,English,Quiz,Hard,43,77.67,137,Yes
Gary,18,Male,UK,Scotland,Glasgow,Business,High,Beginner,Advanced,English,Quiz,Medium,36,79.55,124,Yes
Russell,8,Female,UK,Scotland,Glasgow,Engineer,Middle,Advanced,Intermediate,Math,Video,Basic,28,71.19,89,Yes
Larry,14,Male,India,Maharashtra,Mumbai,Engineer,Middle,Intermediate,Advanced,Math,Quiz,Hard,92,34.01,86,No
Michele,12,Female,UK,England,London,Doctor,Low,Advanced,Advanced,Science,Quiz,Medium,47,65.4,116,Yes
Elizabeth,8,Male,India,Maharashtra,Pune,Clerk,Middle,Advanced,Beginner,Science,Video,Medium,91,83.17,93,Yes
Lauren,15,Male,USA,California,San Diego,Engineer,Middle,Beginner,Intermediate,Math,PDF,Medium,117,76.92,125,Yes
Olivia,10,Male,UK,England,Manchester,Business,High,Intermediate,Intermediate,Science,Video,Hard,31,76.09,122,Yes
Brenda,16,Female,India,Maharashtra,Pune,Teacher,Middle,Advanced,Advanced,Science,Video,Hard,30,87.63,117,Yes
Martin,12,Male,India,Maharashtra,Mumbai,Clerk,Low,Advanced,Beginner,English,PDF,Basic,98,85.91,120,Yes
David,7,Female,UK,England,London,Farmer,Middle,Beginner,Advanced,Science,Quiz,Basic,66,63.44,100,Yes
Rachel,12,Female,India,Karnataka,Bangalore,Engineer,Low,Beginner,Beginner,English,Quiz,Medium,104,73.63,123,Yes
Tiffany,13,Female,USA,California,Los Angeles,Engineer,Middle,Advanced,Beginner,English,Video,Basic,19,75.36,121,Yes
Shannon,13,Male,USA,Texas,Dallas,Doctor,Low,Beginner,Intermediate,Science,PDF,Medium,18,69.17,121,Yes
Bryan,10,Male,India,Maharashtra,Mumbai,Business,Low,Intermediate,Intermediate,Math,Video,Basic,41,72.04,100,Yes
Katherine,6,Female,India,Karnataka,Bangalore,Doctor,Middle,Intermediate,Beginner,English,Quiz,Basic,26,78.25,87,Yes
Christina,13,Male,UK,England,Manchester,Doctor,High,Beginner,Beginner,Math,Quiz,Hard,46,32.3,109,No
Taylor,14,Female,USA,California,Los Angeles,Doctor,Low,Beginner,Intermediate,Math,PDF,Basic,113,71.05,91,Yes
Thomas,11,Male,UK,Scotland,Glasgow,Farmer,Middle,Advanced,Advanced,English,PDF,Hard,92,46.89,127,No
Marc,6,Female,India,Maharashtra,Pune,Teacher,High,Advanced,Beginner,Science,Video,Hard,42,50.61,90,No
Kevin,14,Female,India,Karnataka,Mysore,Business,High,Intermediate,Intermediate,Science,Video,Medium,44,77.09,92,Yes
Robert,16,Female,India,Maharashtra,Mumbai,Engineer,Low,Intermediate,Advanced,Science,Quiz,Hard,77,74.42,130,Yes
Jeremy,11,Male,India,Karnataka,Mysore,Clerk,Low,Beginner,Beginner,Science,Quiz,Basic,114,57.55,85,No
Maria,6,Male,USA,Texas,Austin,Clerk,High,Beginner,Intermediate,Science,Quiz,Hard,38,91.89,119,Yes
Justin,14,Male,USA,California,Los Angeles,Doctor,High,Intermediate,Beginner,English,PDF,Hard,90,67.79,139,Yes
Angela,6,Male,USA,California,Los Angeles,Clerk,Low,Beginner,Intermediate,English,Quiz,Basic,62,82.35,90,Yes
Andrea,10,Male,UK,Scotland,Edinburgh,Teacher,Low,Intermediate,Beginner,English,Quiz,Basic,91,85.89,89,Yes
Roberto,6,Female,UK,Scotland,Edinburgh,Engineer,Middle,Advanced,Intermediate,English,Quiz,Medium,45,65.14,83,Yes
Christina,5,Female,India,Maharashtra,Pune,Farmer,High,Advanced,Beginner,Science,Video,Medium,93,82.48,94,Yes
Robert,6,Male,India,Maharashtra,Mumbai,Teacher,Middle,Intermediate,Advanced,Math,Quiz,Basic,62,68.39,104,Yes
John,9,Male,India,Maharashtra,Pune,Engineer,Middle,Intermediate,Intermediate,Math,Quiz,Medium,118,75.31,97,Yes
Jennifer,9,Female,USA,Texas,Dallas,Teacher,Middle,Beginner,Advanced,English,Video,Basic,46,79.4,81,Yes
James,13,Male,India,Maharashtra,Mumbai,Business,Middle,Beginner,Advanced,Science,Video,Hard,51,46.98,105,No
Stacy,8,Male,India,Maharashtra,Mumbai,Engineer,Middle,Intermediate,Intermediate,English,PDF,Medium,83,77.52,89,Yes
David,17,Female,UK,Scotland,Glasgow,Clerk,High,Beginner,Advanced,Science,Quiz,Medium,39,69.33,125,Yes
Brittany,5,Female,India,Maharashtra,Mumbai,Doctor,Low,Beginner,Advanced,Math,PDF,Basic,100,64.47,81,Yes
Olivia,7,Male,India,Maharashtra,Pune,Doctor,Low,Intermediate,Intermediate,Science,Quiz,Hard,89,67.06,132,Yes
Jessica,15,Female,UK,Scotland,Edinburgh,Doctor,Middle,Beginner,Beginner,English,Quiz,Basic,110,64.97,105,Yes
Gabrielle,5,Female,India,Karnataka,Mysore,Engineer,Low,Intermediate,Beginner,English,Video,Hard,115,75.2,127,Yes
Stacey,17,Female,UK,Scotland,Edinburgh,Farmer,High,Beginner,Intermediate,English,Video,Basic,19,69.1,109,Yes
Brandon,14,Female,UK,Scotland,Glasgow,Business,High,Intermediate,Intermediate,Math,PDF,Basic,118,87.24,83,Yes
Anthony,17,Male,UK,England,Manchester,Engineer,Middle,Beginner,Advanced,Science,PDF,Hard,81,36.91,105,No
Jaclyn,8,Female,USA,Texas,Dallas,Engineer,Middle,Advanced,Beginner,Math,PDF,Medium,114,83.49,112,Yes
Brendan,6,Female,USA,Texas,Dallas,Farmer,High,Intermediate,Intermediate,Science,Video,Basic,74,98.05,120,Yes
Jacqueline,12,Male,UK,England,Manchester,Farmer,High,Advanced,Beginner,English,Video,Hard,102,69.6,89,Yes
Colleen,14,Male,India,Maharashtra,Mumbai,Teacher,High,Beginner,Intermediate,English,Video,Medium,57,74.4,86,Yes
Lisa,14,Female,UK,Scotland,Edinburgh,Clerk,High,Advanced,Beginner,Science,PDF,Hard,118,85.51,125,Yes
Charles,14,Female,India,Karnataka,Bangalore,Clerk,High,Beginner,Beginner,Science,Quiz,Hard,112,60.41,133,Yes
Edward,14,Male,UK,England,London,Farmer,Middle,Intermediate,Advanced,Science,PDF,Basic,83,72.29,88,Yes
Joel,8,Female,UK,Scotland,Glasgow,Business,High,Intermediate,Advanced,Math,Video,Hard,54,46.37,101,No
Deborah,10,Female,USA,Texas,Austin,Engineer,Low,Intermediate,Intermediate,English,PDF,Medium,99,60.87,125,Yes
Thomas,18,Male,UK,Scotland,Glasgow,Clerk,High,Advanced,Advanced,English,Video,Hard,75,65.0,120,Yes
Sharon,15,Female,USA,Texas,Austin,Doctor,Middle,Intermediate,Beginner,Science,PDF,Basic,26,67.99,92,Yes
Richard,16,Female,UK,Scotland,Edinburgh,Engineer,Low,Beginner,Advanced,Math,Quiz,Medium,27,94.14,95,Yes
Travis,16,Male,UK,Scotland,Edinburgh,Clerk,High,Intermediate,Advanced,Science,Video,Hard,103,47.31,138,No
Joseph,10,Male,UK,Scotland,Glasgow,Teacher,Low,Intermediate,Intermediate,Science,Quiz,Medium,89,82.58,116,Yes
Sandra,6,Male,UK,Scotland,Glasgow,Doctor,Low,Intermediate,Intermediate,Math,Video,Medium,14,59.95,122,No
Misty,13,Female,USA,Texas,Austin,Teacher,High,Advanced,Intermediate,Science,Quiz,Basic,34,56.08,121,No
Andrew,16,Male,USA,California,Los Angeles,Farmer,Low,Advanced,Advanced,Math,PDF,Medium,28,71.05,94,Yes
Zachary,9,Male,India,Maharashtra,Mumbai,Teacher,Middle,Intermediate,Advanced,Math,Video,Basic,119,64.92,106,Yes
Timothy,14,Female,USA,California,Los Angeles,Doctor,Middle,Beginner,Intermediate,Science,Video,Basic,100,66.83,96,Yes
Bruce,14,Female,USA,California,San Diego,Doctor,High,Advanced,Beginner,Science,Video,Medium,22,81.92,91,Yes
Katherine,14,Female,USA,Texas,Dallas,Farmer,High,Beginner,Beginner,English,PDF,Hard,72,79.4,102,Yes
Stacy,13,Female,UK,Scotland,Glasgow,Farmer,High,Beginner,Beginner,Math,Quiz,Hard,34,58.03,86,No
Raymond,5,Male,India,Karnataka,Mysore,Teacher,Low,Beginner,Advanced,English,PDF,Medium,57,90.64,120,Yes
Brian,5,Female,India,Maharashtra,Pune,Clerk,High,Intermediate,Beginner,English,Quiz,Hard,26,97.56,130,Yes
James,11,Male,UK,Scotland,Glasgow,Engineer,High,Advanced,Intermediate,Science,Video,Hard,39,89.92,111,Yes
Brittney,15,Female,USA,California,Los Angeles,Business,Middle,Intermediate,Advanced,Math,PDF,Basic,109,68.17,118,Yes
