Name,Age,Gender,Country,State,City,Parent Occupation,Earning Class,Level of Student,Level of Course,Course Name,Material Name,Material Level,Time per Day (min),Assessment Score,IQ of Student,Promoted
Jesse,11,Male,India,Maharashtra,Mumbai,Clerk,High,Advanced,Beginner,Science,PDF,Medium,38,81.48,105,Yes
Maria,6,Male,USA,California,Los Angeles,Doctor,High,Advanced,Beginner,English,PDF,Medium,28,54.18,105,No
Joseph,12,Male,USA,California,San Diego,Business,High,Intermediate,Intermediate,Science,Video,Hard,17,67.45,113,Yes
Maria,16,Male,India,Karnataka,Mysore,Business,High,Advanced,Beginner,English,PDF,Basic,69,81.0,103,Yes
Miranda,10,Female,India,Karnataka,Mysore,Business,Low,Beginner,Beginner,Math,PDF,Basic,36,84.28,133,Yes
Frank,11,Male,USA,California,Los Angeles,Clerk,Middle,Advanced,Beginner,Math,Quiz,Medium,23,53.88,96,No
Nathaniel,9,Female,UK,England,Manchester,Business,Middle,Advanced,Intermediate,Science,Video,Basic,27,56.81,81,No
Debra,5,Female,India,Maharashtra,Pune,Farmer,Low,Intermediate,Intermediate,English,PDF,Basic,115,68.69,118,Yes
Kevin,15,Female,UK,Scotland,Edinburgh,Clerk,High,Advanced,Intermediate,English,PDF,Basic,63,73.96,89,Yes
David,6,Female,USA,California,San Diego,Teacher,High,Beginner,Advanced,English,Video,Hard,52,94.98,116,Yes
Ashley,15,Male,UK,Scotland,Glasgow,Farmer,High,Intermediate,Beginner,Math,PDF,Basic,53,46.88,98,No
Tyler,16,Male,India,Karnataka,Mysore,Farmer,Low,Intermediate,Intermediate,Math,PDF,Basic,44,65.77,80,Yes
Samantha,12,Male,USA,California,Los Angeles,Clerk,Low,Advanced,Intermediate,Math,Quiz,Medium,54,69.44,136,Yes
Samantha,5,Male,UK,Scotland,Glasgow,Clerk,High,Advanced,Intermediate,Science,Quiz,Hard,93,63.25,129,Yes
Judith,15,Female,USA,California,San Diego,Clerk,Low,Intermediate,Beginner,Math,Video,Medium,40,76.85,91,Yes
William,15,Male,UK,England,London,Clerk,Low,Advanced,Beginner,English,PDF,Basic,87,85.4,115,Yes
William,11,Female,India,Maharashtra,Mumbai,Business,High,Beginner,Advanced,Science,PDF,Basic,37,60.69,113,Yes
Brian,17,Male,UK,England,Manchester,Teacher,Low,Beginner,Advanced,Math,Quiz,Medium,50,54.08,125,No
Audrey,18,Female,USA,California,Los Angeles,Business,Low,Advanced,Intermediate,Science,Video,Basic,64,65.73,126,Yes
Christina,13,Female,India,Maharashtra,Pune,Engineer,Middle,Advanced,Advanced,Math,PDF,Medium,69,91.72,98,Yes
Kenneth,6,Male,India,Maharashtra,Mumbai,Farmer,Low,Advanced,Intermediate,English,PDF,Medium,110,89.37,120,Yes
Jennifer,17,Female,UK,Scotland,Edinburgh,Clerk,High,Advanced,Advanced,English,Video,Medium,62,71.68,129,Yes
John,17,Female,India,Karnataka,Mysore,Business,Low,Advanced,Beginner,Math,PDF,Medium,52,85.12,137,Yes
Scott,12,Male,UK,England,Manchester,Farmer,Low,Advanced,Advanced,Math,Video,Basic,24,79.89,137,Yes
Anna,16,Male,USA,Texas,Dallas,Teacher,Low,Intermediate,Advanced,Math,PDF,Hard,36,48.26,122,No
Timothy,12,Male,UK,England,London,Business,Middle,Beginner,Advanced,Science,Quiz,Medium,64,60.9,127,Yes
Christina,13,Female,USA,Texas,Austin,Teacher,High,Advanced,Intermediate,English,PDF,Hard,91,57.21,113,No
Richard,8,Female,UK,Scotland,Glasgow,Clerk,Middle,Intermediate,Beginner,Math,Quiz,Basic,72,49.03,96,No
Leah,11,Female,UK,England,Manchester,Teacher,High,Beginner,Intermediate,Science,Quiz,Medium,34,77.5,89,Yes
Elizabeth,17,Female,UK,England,London,Clerk,High,Intermediate,Advanced,English,Quiz,Basic,45,71.06,124,Yes
Hunter,16,Male,UK,England,London,Business,High,Advanced,Beginner,Math,Video,Hard,36,63.85,131,Yes
Jodi,10,Female,UK,Scotland,Edinburgh,Farmer,High,Intermediate,Advanced,English,Video,Basic,42,60.83,94,Yes
Felicia,15,Female,India,Karnataka,Bangalore,Clerk,Low,Intermediate,Advanced,English,Video,Hard,29,48.76,129,No
Bethany,17,Male,UK,Scotland,Edinburgh,Farmer,High,Intermediate,Advanced,Science,PDF,Basic,57,57.99,118,No
Joshua,10,Female,India,Karnataka,Mysore,Doctor,Middle,Intermediate,Advanced,Math,Video,Hard,81,88.18,117,Yes
Luis,16,Female,UK,England,Manchester,Business,Middle,Beginner,Intermediate,Science,PDF,Hard,13,74.02,101,Yes
Dana,5,Female,UK,England,Manchester,Clerk,Middle,Beginner,Advanced,Math,Video,Basic,101,52.57,119,No
Daniel,16,Female,UK,Scotland,Glasgow,Doctor,Low,Beginner,Intermediate,Science,PDF,Basic,48,56.38,110,No
Shawn,16,Female,India,Maharashtra,Mumbai,Clerk,High,Beginner,Beginner,Math,Quiz,Hard,58,86.6,92,Yes
Mary,11,Male,USA,Texas,Dallas,Clerk,Middle,Advanced,Beginner,Science,Video,Medium,82,58.33,102,No
Rebecca,5,Female,UK,England,Manchester,Clerk,High,Advanced,Beginner,Math,Quiz,Medium,27,84.75,115,Yes
Chelsea,16,Female,USA,California,Los Angeles,Farmer,Low,Intermediate,Intermediate,Math,PDF,Basic,42,71.24,82,Yes
Pamela,8,Female,India,Maharashtra,Pune,Farmer,Low,Intermediate,Intermediate,English,Quiz,Hard,78,75.68,89,Yes
Lori,8,Male,USA,California,San Diego,Clerk,Low,Advanced,Intermediate,Math,PDF,Hard,68,60.15,106,Yes
David,15,Male,India,Maharashtra,Pune,Engineer,Middle,Advanced,Advanced,English,Video,Medium,32,82.34,124,Yes
Alicia,18,Female,UK,England,Manchester,Engineer,High,Intermediate,Advanced,English,PDF,Hard,25,74.59,105,Yes
Abigail,6,Female,India,Maharashtra,Pune,Engineer,Middle,Beginner,Advanced,English,PDF,Hard,35,70.91,126,Yes
Shannon,6,Male,India,Karnataka,Bangalore,Doctor,Low,Advanced,Intermediate,Science,Video,Medium,77,96.5,136,Yes
Kayla,15,Male,India,Karnataka,Bangalore,Doctor,Middle,Advanced,Advanced,English,Quiz,Basic,50,56.52,113,No
Catherine,17,Male,USA,Texas,Austin,Farmer,Middle,Intermediate,Advanced,Math,Quiz,Basic,46,33.53,110,No
Brianna,6,Male,USA,California,Los Angeles,Engineer,Low,Beginner,Intermediate,Math,PDF,Hard,10,54.79,92,No
Jose,12,Female,UK,Scotland,Glasgow,Clerk,Low,Beginner,Beginner,Math,PDF,Basic,109,66.86,94,Yes
Jessica,7,Female,India,Karnataka,Bangalore,Clerk,High,Intermediate,Beginner,Science,PDF,Medium,108,67.23,110,Yes
Andrea,6,Female,India,Maharashtra,Mumbai,Doctor,Middle,Intermediate,Beginner,Math,PDF,Basic,74,74.83,110,Yes
Matthew,11,Female,UK,England,Manchester,Clerk,Low,Advanced,Intermediate,Math,Quiz,Basic,11,77.02,108,Yes
Brenda,12,Female,USA,Texas,Austin,Doctor,High,Beginner,Advanced,Science,Video,Basic,44,51.94,139,No
Rebekah,13,Female,USA,California,San Diego,Farmer,High,Intermediate,Advanced,Math,Video,Medium,97,46.04,105,No
Brandon,8,Male,USA,California,San Diego,Doctor,Middle,Intermediate,Beginner,Math,Video,Medium,31,67.62,99,Yes
Christina,14,Male,USA,California,Los Angeles,Business,High,Advanced,Beginner,Science,Quiz,Medium,74,89.21,97,Yes
Kristie,17,Male,India,Karnataka,Bangalore,Business,High,Beginner,Beginner,Science,Video,Medium,96,73.66,98,Yes
Julie,15,Male,UK,Scotland,Edinburgh,Engineer,Low,Advanced,Intermediate,Math,PDF,Hard,115,48.71,113,No
Mitchell,7,Female,India,Maharashtra,Pune,Business,Low,Advanced,Intermediate,Math,Video,Hard,57,67.37,108,Yes
Chad,5,Female,USA,Texas,Dallas,Business,High,Beginner,Intermediate,English,Quiz,Hard,117,53.64,117,No
Sarah,6,Male,India,Maharashtra,Mumbai,Clerk,High,Intermediate,Beginner,English,Video,Medium,106,66.12,96,Yes
Lance,13,Male,India,Karnataka,Bangalore,Farmer,High,Advanced,Beginner,English,PDF,Medium,16,44.32,140,No
Garrett,18,Male,USA,Texas,Austin,Farmer,Low,Beginner,Beginner,Science,Video,Medium,93,62.04,122,Yes
Katrina,8,Male,India,Karnataka,Bangalore,Engineer,High,Beginner,Intermediate,Math,Quiz,Hard,117,70.18,118,Yes
Michelle,7,Female,USA,Texas,Dallas,Teacher,Low,Intermediate,Beginner,Science,Quiz,Basic,55,84.44,93,Yes
Charles,13,Male,India,Karnataka,Mysore,Engineer,Middle,Advanced,Advanced,English,Quiz,Hard,60,83.33,139,Yes
Brian,12,Male,UK,Scotland,Edinburgh,Doctor,Middle,Beginner,Intermediate,Science,Video,Hard,120,97.18,132,Yes
Gordon,6,Female,India,Maharashtra,Pune,Doctor,Middle,Beginner,Beginner,English,Quiz,Hard,30,48.21,129,No
Sarah,11,Female,USA,California,Los Angeles,Clerk,Low,Advanced,Advanced,Science,Quiz,Hard,51,70.34,91,Yes
Lisa,14,Female,India,Karnataka,Mysore,Doctor,Middle,Intermediate,Beginner,Science,Quiz,Hard,101,70.36,106,Yes
Amber,5,Male,USA,Texas,Austin,Farmer,High,Beginner,Advanced,Science,PDF,Basic,94,80.35,131,Yes
Cheryl,14,Male,India,Karnataka,Bangalore,Clerk,Low,Advanced,Advanced,Math,Video,Basic,94,60.56,116,Yes
Derrick,6,Female,UK,Scotland,Edinburgh,Doctor,High,Intermediate,Advanced,Science,Quiz,Basic,99,76.7,105,Yes
Aaron,7,Male,UK,England,London,Business,High,Beginner,Beginner,Science,Quiz,Hard,14,42.05,109,No
Jeffrey,15,Female,USA,Texas,Austin,Business,High,Intermediate,Intermediate,Math,Quiz,Basic,83,91.58,100,Yes
Jenna,17,Female,USA,Texas,Dallas,Clerk,Middle,Beginner,Intermediate,Science,PDF,Hard,110,62.44,105,Yes
Eric,17,Male,USA,Texas,Dallas,Farmer,High,Beginner,Beginner,English,Quiz,Hard,79,70.98,136,Yes
Susan,13,Female,USA,California,Los Angeles,Teacher,Low,Intermediate,Advanced,Math,Video,Hard,34,66.84,80,Yes
Sandra,17,Female,India,Karnataka,Bangalore,Business,High,Advanced,Intermediate,English,PDF,Medium,25,78.77,104,Yes
Amber,18,Male,UK,Scotland,Glasgow,Doctor,High,Beginner,Advanced,English,Video,Medium,111,64.24,84,Yes
Chad,5,Male,India,Karnataka,Mysore,Farmer,High,Beginner,Intermediate,Science,Video,Basic,17,92.17,136,Yes
Brooke,7,Male,India,Karnataka,Bangalore,Clerk,Middle,Advanced,Beginner,English,Quiz,Basic,75,75.91,125,Yes
Tyler,17,Male,India,Karnataka,Bangalore,Teacher,Middle,Advanced,Beginner,English,PDF,Medium,97,70.19,126,Yes
Steven,13,Male,UK,England,London,Engineer,Low,Intermediate,Intermediate,Science,PDF,Hard,52,75.41,115,Yes
Maria,17,Female,UK,England,London,Clerk,Middle,Advanced,Beginner,Science,Quiz,Medium,38,41.18,83,No
Diana,18,Male,UK,England,Manchester,Farmer,Middle,Advanced,Advanced,English,PDF,Medium,110,61.59,134,Yes
Henry,8,Female,USA,Texas,Dallas,Farmer,Low,Intermediate,Beginner,English,Quiz,Medium,40,80.8,110,Yes
Amanda,11,Male,UK,England,London,Engineer,High,Advanced,Intermediate,English,Video,Basic,39,88.89,104,Yes
Christopher,6,Male,UK,England,London,Teacher,Low,Intermediate,Intermediate,Math,Quiz,Hard,107,49.39,116,No
Nathan,7,Male,UK,Scotland,Glasgow,Farmer,High,Advanced,Beginner,Math,Video,Hard,63,66.21,139,Yes
Christina,14,Female,UK,Scotland,Glasgow,Clerk,Low,Beginner,Intermediate,English,PDF,Basic,80,65.62,104,Yes
Preston,10,Female,USA,California,San Diego,Teacher,Low,Advanced,Intermediate,Science,PDF,Hard,119,47.12,106,No
Barbara,14,Male,USA,California,San Diego,Farmer,High,Intermediate,Advanced,English,Video,Basic,36,48.84,139,No
Abigail,8,Female,India,Maharashtra,Mumbai,Teacher,Middle,Advanced,Advanced,English,Video,Medium,77,54.83,92,No
Patty,12,Male,India,Karnataka,Mysore,Business,Low,Beginner,Beginner,English,Video,Hard,119,91.0,118,Yes
Christopher,16,Female,USA,California,San Diego,Doctor,High,Beginner,Intermediate,Math,Quiz,Medium,19,78.05,128,Yes
Matthew,9,Female,UK,Scotland,Glasgow,Farmer,High,Beginner,Intermediate,English,PDF,Hard,46,91.14,87,Yes
Joshua,18,Male,UK,England,Manchester,Business,Middle,Advanced,Beginner,Math,Video,Hard,58,72.03,104,Yes
Patricia,6,Female,USA,California,Los Angeles,Clerk,Low,Advanced,Beginner,English,Video,Basic,114,62.04,113,Yes
Evan,10,Male,India,Maharashtra,Pune,Engineer,Low,Beginner,Beginner,Science,PDF,Medium,100,74.54,106,Yes
Melissa,5,Male,UK,England,Manchester,Farmer,Low,Beginner,Advanced,Math,Video,Hard,52,89.79,106,Yes
Selena,11,Female,UK,Scotland,Glasgow,Teacher,Middle,Intermediate,Intermediate,Science,Quiz,Hard,90,62.83,99,Yes
Vanessa,18,Male,India,Karnataka,Mysore,Doctor,Low,Beginner,Advanced,English,PDF,Medium,40,67.81,98,Yes
Terri,7,Female,India,Maharashtra,Pune,Business,Low,Beginner,Intermediate,Science,PDF,Hard,10,60.95,81,Yes
Garrett,18,Female,USA,California,Los Angeles,Business,High,Intermediate,Beginner,English,PDF,Medium,93,68.42,133,Yes
Jeffrey,8,Male,India,Maharashtra,Mumbai,Farmer,High,Intermediate,Intermediate,English,Video,Medium,104,63.5,102,Yes
Elizabeth,16,Female,India,Maharashtra,Pune,Teacher,Middle,Beginner,Intermediate,Science,Quiz,Hard,44,78.35,127,Yes
Jeffrey,13,Female,USA,California,San Diego,Teacher,Middle,Advanced,Beginner,English,Quiz,Hard,48,62.51,117,Yes
Melvin,17,Female,India,Maharashtra,Mumbai,Business,Low,Intermediate,Intermediate,Math,Video,Basic,19,99.03,93,Yes
Christina,18,Female,USA,California,Los Angeles,Business,High,Intermediate,Advanced,Science,PDF,Medium,70,70.15,85,Yes
Kenneth,10,Female,USA,Texas,Dallas,Business,Middle,Advanced,Advanced,Science,Video,Hard,82,52.09,80,No
Vincent,5,Female,USA,California,San Diego,Farmer,Middle,Advanced,Intermediate,Science,Quiz,Medium,115,55.16,123,No
Caroline,10,Male,USA,Texas,Dallas,Teacher,Middle,Intermediate,Beginner,Math,Quiz,Basic,81,99.19,99,Yes
Nicole,12,Female,India,Karnataka,Mysore,Clerk,Middle,Intermediate,Intermediate,Science,PDF,Basic,52,73.74,105,Yes
Nancy,7,Male,USA,California,Los Angeles,Doctor,Middle,Intermediate,Intermediate,Math,Video,Hard,31,53.05,113,No
Shaun,15,Male,India,Karnataka,Bangalore,Farmer,High,Intermediate,Intermediate,English,Quiz,Medium,19,57.74,92,No
Kathy,17,Male,India,Karnataka,Mysore,Clerk,Middle,Intermediate,Beginner,Science,Quiz,Medium,54,73.94,95,Yes
Michael,14,Female,UK,England,Manchester,Engineer,High,Beginner,Intermediate,Math,Video,Hard,67,63.48,119,Yes
Sandra,11,Male,UK,Scotland,Glasgow,Doctor,High,Advanced,Advanced,Math,Quiz,Basic,54,47.0,123,No
Jack,18,Male,India,Maharashtra,Pune,Clerk,Low,Advanced,Beginner,Science,Quiz,Hard,50,54.16,88,No
Daniel,13,Female,India,Karnataka,Bangalore,Doctor,Middle,Beginner,Beginner,English,Quiz,Basic,63,47.7,118,No
Jody,13,Female,India,Karnataka,Bangalore,Farmer,High,Intermediate,Intermediate,Math,Quiz,Hard,19,67.5,104,Yes
Adam,15,Male,USA,California,Los Angeles,Clerk,High,Intermediate,Advanced,Science,Quiz,Basic,103,56.15,130,No
Cynthia,11,Female,UK,England,Manchester,Engineer,Low,Beginner,Advanced,English,PDF,Basic,75,66.92,123,Yes
Victoria,17,Male,USA,California,Los Angeles,Business,Middle,Beginner,Intermediate,Math,Video,Medium,18,48.39,136,No
Robert,18,Female,UK,Scotland,Edinburgh,Farmer,High,Beginner,Beginner,Science,PDF,Basic,68,71.16,122,Yes
Cole,12,Male,India,Karnataka,Mysore,Clerk,Middle,Beginner,Intermediate,Science,Video,Medium,89,51.34,136,No
Krystal,5,Female,USA,Texas,Dallas,Engineer,Low,Advanced,Beginner,English,Video,Hard,53,57.77,91,No
Donald,14,Male,USA,Texas,Dallas,Business,Middle,Intermediate,Advanced,Science,PDF,Hard,109,100.0,91,Yes
Jessica,15,Female,UK,Scotland,Glasgow,Engineer,Middle,Beginner,Beginner,Science,Quiz,Medium,52,75.33,105,Yes
Nicole,16,Male,USA,Texas,Austin,Business,Middle,Advanced,Beginner,Science,Video,Medium,60,67.7,111,Yes
Charles,14,Female,UK,England,Manchester,Business,Middle,Advanced,Beginner,English,Video,Basic,97,50.66,116,No
Jeffrey,16,Male,India,Karnataka,Bangalore,Clerk,High,Beginner,Advanced,Math,PDF,Hard,86,54.65,81,No
Tiffany,7,Male,USA,Texas,Dallas,Farmer,Middle,Advanced,Advanced,Math,Quiz,Medium,104,74.15,112,Yes
Gregory,9,Female,USA,California,San Diego,Business,High,Advanced,Intermediate,English,Video,Medium,29,63.43,127,Yes
Stephanie,8,Female,India,Maharashtra,Mumbai,Teacher,Middle,Beginner,Intermediate,Math,PDF,Medium,114,45.17,85,No
Lawrence,12,Male,UK,Scotland,Edinburgh,Business,Middle,Advanced,Beginner,English,Quiz,Medium,49,83.34,137,Yes
Stephanie,15,Male,USA,California,Los Angeles,Teacher,Low,Advanced,Advanced,Math,Video,Hard,72,65.09,105,Yes
Lee,7,Female,India,Karnataka,Bangalore,Business,High,Intermediate,Intermediate,English,Video,Hard,106,32.93,108,No
Kimberly,16,Female,India,Maharashtra,Mumbai,Teacher,High,Intermediate,Beginner,Math,Quiz,Hard,39,79.5,91,Yes
Selena,13,Male,USA,Texas,Dallas,Farmer,Low,Intermediate,Advanced,Science,PDF,Medium,46,81.38,86,Yes
Christine,14,Female,USA,California,San Diego,Business,High,Advanced,Intermediate,Science,Quiz,Medium,66,80.56,82,Yes
Jane,8,Male,UK,England,Manchester,Business,Low,Beginner,Advanced,Science,Quiz,Medium,76,62.55,102,Yes
Chelsea,10,Female,India,Maharashtra,Mumbai,Doctor,Low,Intermediate,Intermediate,Math,Quiz,Basic,95,77.21,104,Yes
Susan,13,Female,USA,Texas,Dallas,Teacher,High,Intermediate,Beginner,Science,Video,Medium,14,82.37,92,Yes
Susan,12,Female,UK,Scotland,Edinburgh,Doctor,Low,Beginner,Beginner,English,PDF,Hard,27,55.95,123,No
Garrett,7,Male,India,Karnataka,Mysore,Clerk,Low,Beginner,Intermediate,Math,Video,Medium,100,53.54,110,No
Joseph,17,Female,USA,Texas,Dallas,Farmer,Middle,Advanced,Advanced,Math,PDF,Medium,27,63.57,113,Yes
Kyle,9,Male,India,Maharashtra,Mumbai,Teacher,Middle,Intermediate,Advanced,Science,Quiz,Medium,81,64.02,118,Yes
Robert,18,Male,UK,England,London,Business,Middle,Intermediate,Advanced,English,Video,Basic,87,78.25,82,Yes
Erin,15,Female,India,Karnataka,Bangalore,Farmer,Low,Beginner,Intermediate,English,Quiz,Basic,92,79.33,88,Yes
Brandon,14,Male,USA,Texas,Austin,Engineer,Low,Intermediate,Intermediate,English,PDF,Hard,109,92.43,112,Yes
David,7,Female,USA,Texas,Dallas,Business,High,Intermediate,Intermediate,Math,Video,Hard,116,65.3,100,Yes
Diana,15,Male,UK,England,Manchester,Business,Middle,Advanced,Intermediate,English,Video,Hard,114,69.25,95,Yes
William,17,Male,UK,Scotland,Edinburgh,Business,Middle,Beginner,Intermediate,Math,Quiz,Basic,63,85.46,97,Yes
Amber,9,Male,UK,England,London,Farmer,Middle,Advanced,Intermediate,English,Quiz,Hard,15,69.48,136,Yes
Heather,11,Female,India,Maharashtra,Mumbai,Teacher,Low,Advanced,Advanced,Science,PDF,Hard,28,95.56,91,Yes
Grant,15,Male,USA,Texas,Austin,Farmer,High,Intermediate,Intermediate,Science,Video,Medium,105,67.13,100,Yes
Lauren,6,Female,India,Karnataka,Mysore,Teacher,Low,Beginner,Advanced,Math,Video,Medium,84,80.72,81,Yes
Courtney,17,Female,UK,Scotland,Glasgow,Farmer,Middle,Intermediate,Intermediate,Science,Video,Medium,95,71.65,107,Yes
Justin,9,Male,USA,California,San Diego,Business,High,Advanced,Beginner,Science,Video,Medium,111,60.97,128,Yes
Anthony,12,Male,India,Karnataka,Bangalore,Doctor,Middle,Beginner,Beginner,Math,Quiz,Medium,16,77.3,128,Yes
Cole,8,Male,India,Karnataka,Mysore,Teacher,Low,Advanced,Beginner,English,Quiz,Basic,30,70.44,117,Yes
Amber,11,Male,USA,Texas,Austin,Farmer,Middle,Beginner,Advanced,English,Video,Medium,59,51.76,92,No
Elizabeth,10,Female,UK,England,Manchester,Farmer,Low,Advanced,Beginner,Science,PDF,Medium,17,72.59,116,Yes
Russell,12,Female,UK,England,London,Doctor,Middle,Intermediate,Intermediate,English,Video,Medium,65,56.32,105,No
Christopher,11,Female,UK,England,Manchester,Engineer,High,Beginner,Intermediate,Science,Quiz,Medium,40,80.48,86,Yes
Randy,11,Male,USA,Texas,Austin,Teacher,Middle,Intermediate,Intermediate,Science,PDF,Hard,15,85.47,124,Yes
Mark,18,Female,USA,Texas,Austin,Clerk,High,Advanced,Advanced,Science,PDF,Medium,13,83.77,106,Yes
Douglas,7,Male,UK,England,London,Engineer,High,Intermediate,Intermediate,English,Quiz,Medium,23,56.04,95,No
Wendy,8,Male,UK,Scotland,Glasgow,Farmer,Low,Intermediate,Intermediate,Science,PDF,Medium,50,45.3,118,No
Laura,12,Female,India,Karnataka,Bangalore,Doctor,High,Advanced,Beginner,Science,Quiz,Hard,109,67.39,107,Yes
Lauren,10,Male,India,Maharashtra,Mumbai,Engineer,Middle,Intermediate,Intermediate,Science,PDF,Hard,63,65.73,87,Yes
Cory,9,Male,USA,California,San Diego,Farmer,High,Beginner,Advanced,Science,Video,Hard,50,74.02,136,Yes
Jessica,5,Male,UK,Scotland,Glasgow,Doctor,Low,Advanced,Intermediate,Science,PDF,Hard,87,64.51,130,Yes
Joseph,9,Female,USA,Texas,Dallas,Doctor,High,Beginner,Advanced,Science,Video,Medium,108,63.66,128,Yes
Renee,10,Female,India,Karnataka,Bangalore,Engineer,Middle,Beginner,Beginner,Science,Quiz,Basic,26,81.06,114,Yes
Sergio,15,Female,USA,Texas,Dallas,Business,High,Beginner,Beginner,English,PDF,Medium,41,83.67,119,Yes
Corey,16,Female,India,Karnataka,Mysore,Teacher,High,Advanced,Beginner,English,PDF,Hard,70,54.44,135,No
Ashley,10,Male,India,Karnataka,Bangalore,Farmer,Middle,Intermediate,Beginner,Science,Quiz,Hard,84,71.43,85,Yes
Walter,18,Female,UK,Scotland,Edinburgh,Clerk,Low,Advanced,Intermediate,Math,PDF,Basic,28,84.0,136,Yes
Alexander,9,Female,UK,Scotland,Glasgow,Business,Low,Beginner,Intermediate,Math,Video,Hard,64,90.7,138,Yes
Caleb,18,Female,UK,Scotland,Edinburgh,Doctor,Low,Beginner,Advanced,Science,PDF,Medium,27,49.85,88,No
Sarah,8,Male,USA,California,Los Angeles,Farmer,High,Beginner,Advanced,Science,PDF,Hard,119,76.0,136,Yes
Chloe,13,Female,India,Maharashtra,Pune,Business,Low,Advanced,Beginner,English,Quiz,Medium,53,91.66,91,Yes
Robert,8,Female,UK,England,Manchester,Doctor,Low,Beginner,Advanced,Math,Video,Medium,77,53.24,129,No
Jerry,5,Male,USA,California,San Diego,Farmer,Middle,Intermediate,Beginner,Science,PDF,Medium,112,66.35,104,Yes
Edward,10,Male,India,Karnataka,Mysore,Business,Middle,Beginner,Beginner,Science,Quiz,Hard,59,64.29,101,Yes
Nicole,13,Female,UK,England,London,Farmer,High,Advanced,Beginner,Math,PDF,Hard,35,64.85,137,Yes
William,11,Female,UK,England,London,Teacher,Low,Intermediate,Advanced,English,PDF,Basic,68,82.1,83,Yes
Alyssa,15,Male,India,Maharashtra,Mumbai,Teacher,High,Advanced,Intermediate,Math,Video,Hard,117,47.89,112,No
Heather,6,Male,USA,California,Los Angeles,Business,High,Intermediate,Beginner,English,Quiz,Basic,78,67.82,104,Yes
Amanda,16,Female,USA,Texas,Austin,Farmer,High,Intermediate,Beginner,Science,Quiz,Basic,116,72.03,121,Yes
Allison,5,Female,UK,England,Manchester,Business,High,Advanced,Beginner,Science,PDF,Medium,87,61.9,137,Yes
Mackenzie,7,Male,UK,England,Manchester,Business,High,Advanced,Intermediate,Science,Quiz,Hard,67,59.38,82,No
Angela,7,Male,India,Karnataka,Mysore,Engineer,High,Beginner,Intermediate,English,PDF,Basic,62,79.64,116,Yes
Cameron,15,Female,UK,England,London,Business,Middle,Beginner,Intermediate,Science,PDF,Basic,39,79.4,112,Yes
Mark,18,Male,USA,California,Los Angeles,Clerk,Middle,Advanced,Beginner,Math,PDF,Hard,36,84.18,136,Yes
Alyssa,11,Male,India,Maharashtra,Mumbai,Doctor,Low,Beginner,Advanced,Math,PDF,Basic,11,61.17,105,Yes
